25 26
19 16 17 
22 7 47 
17 4 24 
17 5 45 
10 8 22 
24 5 37 
4 21 43 
11 5 13 
5 16 45 
8 15 48 
16 13 8 
20 4 35 
23 3 9 
11 6 13 
15 7 8 
21 10 28 
22 10 29 
22 4 43 
10 3 9 
18 4 25 
15 22 37 
13 25 44 
23 14 27 
4 1 18 
11 20 26 
6 14 13 

23 18
2 7 48 
12 4 27 
22 21 43 
17 13 34 
7 22 14 
11 6 27 
7 2 32 
14 5 9 
18 7 48 
6 16 1 
22 19 47 
3 19 3 
19 5 1 
13 22 49 
6 3 14 
4 1 47 
9 21 42 
5 21 35 

16 18
11 2 36 
3 7 28 
8 6 6 
3 16 26 
12 1 6 
7 9 34 
4 14 12 
5 4 38 
11 6 34 
9 4 7 
8 2 12 
6 4 11 
7 8 32 
6 11 17 
16 3 45 
10 16 43 
9 7 29 
1 10 14 

18 30
11 17 25 
9 5 41 
15 2 16 
1 9 42 
1 3 34 
14 16 42 
12 10 8 
2 13 15 
18 7 46 
10 2 47 
4 7 18 
2 16 45 
17 16 33 
10 8 36 
15 18 49 
18 3 13 
1 12 22 
2 15 16 
12 9 44 
10 12 46 
11 13 5 
4 11 37 
4 16 24 
7 16 42 
14 7 34 
13 18 28 
7 13 44 
12 13 43 
10 16 2 
6 13 49 

17 20
11 2 37 
6 7 19 
14 17 44 
15 4 2 
15 9 17 
6 11 21 
15 8 12 
15 2 30 
15 3 24 
1 16 2 
6 13 29 
11 5 47 
5 4 49 
3 2 29 
12 13 24 
14 6 15 
9 12 12 
4 15 48 
10 14 47 
10 1 41 

21 27
19 17 22 
5 7 27 
5 10 38 
9 16 47 
19 6 35 
20 1 41 
6 13 48 
12 16 19 
7 16 8 
1 6 36 
18 3 43 
12 18 28 
20 2 9 
15 3 28 
17 21 31 
9 7 47 
17 13 17 
11 13 31 
7 13 41 
21 6 41 
18 5 28 
13 17 21 
15 16 17 
8 10 17 
15 5 7 
15 8 8 
21 3 19 

19 19
19 6 41 
11 15 1 
16 11 25 
3 9 12 
3 15 31 
18 17 6 
8 19 35 
5 17 12 
13 8 45 
7 19 20 
16 17 41 
2 11 39 
7 10 25 
15 9 23 
6 14 30 
11 18 35 
4 18 47 
18 9 3 
18 15 46 

28 19
10 23 43 
17 2 35 
14 6 20 
11 8 41 
24 3 39 
4 23 12 
13 16 38 
27 12 18 
11 3 18 
10 20 21 
2 25 50 
11 19 37 
4 18 47 
17 9 33 
26 7 32 
20 16 44 
20 9 13 
17 28 45 
3 21 2 

16 15
12 5 16 
2 15 12 
2 4 37 
15 14 36 
2 6 22 
16 14 46 
10 1 14 
9 16 21 
7 15 8 
8 4 32 
10 7 33 
10 12 28 
6 14 39 
5 7 34 
1 2 36 

18 26
18 4 4 
1 5 11 
8 9 44 
11 8 43 
12 6 24 
13 4 44 
2 13 23 
18 14 27 
17 14 5 
9 1 43 
4 17 23 
11 3 22 
6 9 50 
3 11 39 
9 16 37 
10 8 23 
10 3 3 
12 2 41 
3 2 28 
8 12 3 
12 13 49 
10 16 10 
4 8 24 
5 12 10 
4 18 24 
7 18 6 

